,accountid,key,quantity
0,5038088.CD-TV1,gioithieuonfuturem,1
1,5038088.CD-TV1,holyflameofthemartialworldm,2
2,5038088.CD-TV1,move_dancecover4km,1
3,5038088.CD-TV1,swalla_dancecover4km,1
4,5038088.CD-TV1,transformer_thelastknight_4km,1
5,5048501-TV2,firebreathinghuman4km,1
6,5048501-TV2,highlightstuntgp4km,1
7,5048501-TV2,hondacivicr4km,1
8,5048501-TV2,hulahooptricks4km,1
9,5048501-TV2,motchuyentinhmytamfttuanhungm,1
10,5048501-TV2,vietnam4km,1
11,5050126-TV2,greatwallchina4km,1
12,5129035-TV1,LYS005056949,2
13,5129035-TV1,LYS014206049,1
14,5129035-TV1,annaandthekingm,1
15,5129035-TV1,astrademovideo4km,1
16,5129035-TV1,changtraicuaem_tap2_4km,2
17,5129035-TV1,changtraicuaem_tap3_4km,3
18,5129035-TV1,garfieldm,1
19,5129035-TV1,killerconstablem,1
20,5129035-TV1,marvelstheavengersm,1
21,5129035-TV1,mousehuntm,1
22,5129035-TV1,nhungchuchocuuho48m,1
23,5129035-TV1,nhungchuchocuuho49m,4
24,5129035-TV1,nucuoicuanangtankhanhm,1
25,5129035-TV1,outoftownersm,1
26,5129035-TV1,shotgunlovem,1
27,5129035-TV1,sliver_latcatm,1
28,5129035-TV1,towbellmenthree_4km,1
29,5315958.CD-TV1,closertombeercover4km,1
30,5315958.CD-TV1,despacitofrench4km,1
31,5315958.CD-TV1,nyiragongovolcano4km,1
32,5347902-TV2,1811acodeofsecrecym,2
33,5347902-TV2,21gramsm,5
34,5347902-TV2,3daystokillm,1
35,5347902-TV2,KingsmanTheSecretServicem,1
36,5347902-TV2,LYS004765771,1
37,5347902-TV2,LYS005081278,1
38,5347902-TV2,LYS013511340,1
39,5347902-TV2,LYS013591745,2
40,5347902-TV2,LYS013607194,1
41,5347902-TV2,LYS013607411,1
42,5347902-TV2,LYS013648505,1
43,5347902-TV2,LYS013681281,1
44,5347902-TV2,LYS013688971,1
45,5347902-TV2,LYS013721270,1
46,5347902-TV2,LYS013832975,1
47,5347902-TV2,LYS013837626,1
48,5347902-TV2,LYS013843740,1
49,5347902-TV2,annaandthekingm,6
50,5347902-TV2,badliardance4km,1
51,5347902-TV2,banhkemngotquangvinhm,1
52,5347902-TV2,basejumping4km,2
53,5347902-TV2,buibayvaomatphamquynhanhm,1
54,5347902-TV2,captainamericathefirstavengerm,1
55,5347902-TV2,chicoriengminhemthoirenobinhm,1
56,5347902-TV2,chiendichscroogedm,1
57,5347902-TV2,chovoinhelongngokienhuym,1
58,5347902-TV2,codonmotmuadongrenobinhm,1
59,5347902-TV2,fastandfuriousm,1
60,5347902-TV2,freestylecyclingkrisskyle4km,1
61,5347902-TV2,freestylesoccertrickshots4km,1
62,5347902-TV2,goiquangham,2
63,5347902-TV2,guardiangalaxy4km,1
64,5347902-TV2,hellostrangerm,5
65,5347902-TV2,hennhaunoiayquachtuandum,1
66,5347902-TV2,highlightstuntgp4km,2
67,5347902-TV2,homealonem,1
68,5347902-TV2,justiceleaguetrailer34km,1
69,5347902-TV2,khocquangvinhm,1
70,5347902-TV2,khonamcuongm,1
71,5347902-TV2,khonghoitiecphanviethaiftthanhngocm,1
72,5347902-TV2,khongloithoatquangphucvinhm,1
73,5347902-TV2,kiniemmuathuhanoiquangham,1
74,5347902-TV2,lghdrdemovideo4km,1
75,5347902-TV2,loichuanoiphuongthanhm,1
76,5347902-TV2,lotxacngokhaihym,1
77,5347902-TV2,mongquangvinhm,1
78,5347902-TV2,muabuonkyniemquachthanhdanhm,1
79,5347902-TV2,muadatanhnhatkimanhm,1
80,5347902-TV2,mykingdomm,1
81,5347902-TV2,ngoisaoleloiphandinhtungm,2
82,5347902-TV2,ngoisaotrolaiquachtuandum,1
83,5347902-TV2,ngoquangham,1
84,5347902-TV2,nguoidanongquachthanhdanhm,1
85,5347902-TV2,nhieulucquangham,1
86,5347902-TV2,niukeohaybuongtayphandinhtungm,1
87,5347902-TV2,nophamtruongm,2
88,5347902-TV2,painandgainm,4
89,5347902-TV2,pogofreestyle4km,1
90,5347902-TV2,quybadiepvienm,4
91,5347902-TV2,radiquangvinhm,1
92,5347902-TV2,resistance_khangcum,2
93,5347902-TV2,ringacrobat4km,1
94,5347902-TV2,samsunghdrdemo4km,1
95,5347902-TV2,sanfrancisco4km,1
96,5347902-TV2,shapeofyoucover4km,1
97,5347902-TV2,shotgunlovem,5
98,5347902-TV2,sophiesrevengem,4
99,5347902-TV2,taken3m,3
100,5347902-TV2,tamanhkhonghonthuyhuyenm,1
101,5347902-TV2,tap143anhhangxom_1m,1
102,5347902-TV2,tap161cobasaigonm,1
103,5347902-TV2,theomenm,5
104,5347902-TV2,thephantomoftheopera_dot16m,1
105,5347902-TV2,theterminalm,3
106,5347902-TV2,thoangphanngocluanm,1
107,5347902-TV2,thuocgiayquachtuandum,1
108,5347902-TV2,tinhyeutralaitrangsaogiangtienm,1
109,5347902-TV2,vaanhsetrolaim,1
110,5347902-TV2,vinhoaiphuongtrinhm,1
111,5347902-TV2,wonderwomantrailer4km,1
112,5347902-TV2,yeumotminhanhlinhm,1
113,5347902-TV2,yeuratthatquachtuandum,1
114,5362298-TV2,baliindonesia4km,1
115,5362298-TV2,basejumping4km,1
116,5362298-TV2,changtraicuaem_tap3_4km,1
117,5362298-TV2,samsunghdrdemo4km,1
118,5362298-TV2,stancewars4km,1
119,5374431-TV1,LYS005081278,1
120,5374431-TV1,SuQuyenRuChetNguoi1m,1
121,5374431-TV1,iceland4km,1
122,5374431-TV1,thor3ragnaroktrailer24km,1
123,5374431-TV1,thorm,1
124,5457722-TV2,LYS014250996,1
125,5457722-TV2,baliindonesia4km,2
126,5457722-TV2,canocristales4km,1
127,5457722-TV2,despacito_dancecover4km,1
128,5457722-TV2,feelthebeauty4km,3
129,5457722-TV2,highlightstuntgp4km,1
130,5457722-TV2,hondacivicr4km,1
131,5457722-TV2,iceland4km,1
132,5457722-TV2,mountainrun4km,1
133,5457722-TV2,newdividecover4km,1
134,5457722-TV2,nyiragongovolcano4km,1
135,5457722-TV2,sanfrancisco4km,2
136,5457722-TV2,tap147damcuoihuongvadangm,1
137,5457722-TV2,tiptoe4km,1
138,5457722-TV2,transformer_thelastknight_4km,2
139,5457722-TV2,vietnam4km,1
140,5457722-TV2,welcometonewyork4km,2
141,5467637.CD-TV1,LYS013841059,2
142,5467637.CD-TV1,baliindonesia4km,1
143,5467637.CD-TV1,streetfoodhanoi4km,2
144,5467637.CD-TV1,tiptoe4km,1
145,5555111.CD-TV1,KingsmanTheSecretServicem,1
146,5581662-TV1,3daystokillm,1
147,5581662-TV1,africanwildlife4km,1
148,5581662-TV1,baliindonesia4km,1
149,5581662-TV1,changtraicuaem_tap2_4km,1
150,5581662-TV1,closerhellofaded4km,1
151,5581662-TV1,dontwannaknow4km,1
152,5581662-TV1,genesisg90premium4km,1
153,5581662-TV1,itaintmelindsey4km,1
154,5581662-TV1,mountainrun4km,1
155,5581662-TV1,titaniumalonecover4km,1
156,5583674-TV2,3daystokillm,1
157,5583674-TV2,LYS005068311,1
158,5583674-TV2,LYS005081278,2
159,5583674-TV2,assassinationm,1
160,5583674-TV2,changtraicuaem_tap3_4km,1
161,5583674-TV2,gioithieuonfuturem,1
162,5583674-TV2,mashupvpopusuk4km,1
163,5583674-TV2,nhungchuchocuuho49m,1
164,5583674-TV2,phuongmuonhenhom,1
